,abacavir,abirateron,acetaminop,acetazolam,acetic,adefovir,adenosine,albuterol,alclometas,aliskiren,aluminum,amantadine,ambrisenta,amifostine,amikacin,amino,aminocapro,amiodarone,amitriptyl,amoxapine,amoxicilli,amphetamin,ampicillin,anagrelide,argatroban,aspirin,atropine,azacitidin,azithromyc,bacteriost,belladonna,benzonatat,betamethas,bivalirudi,bleomycin,bosentan,bromphenir,budesonide,bumetanide,bupivacain,busulfan,butenafine,calcipotri,calcitonin,calcium,capecitabi,captopril,carbamazep,cardene,caspofungi,cefazolin,cefdinir,cefixime,cefotaxime,cefotetan,cefoxitin,ceftazidim,cefuroxime,cetirizine,chloramphe,chlordiaze,chloroproc,chlorothia,ciprofloxa,cisatracur,cisplatin,cladribine,clindamyci,clobazam,clobetasol,clomiprami,clonazepam,clonidine,clozapine,codeine,colestipol,collagenas,conjugated,cortisone,cyclopento,cysteamine,cysteine,cytarabine,cytotec,dacarbazin,daptomycin,darifenaci,daunorubic,deferasiro,desipramin,desmopress,desogestre,dexamethas,dexmedetom,dextroamph,dextrose,diazepam,diclofenac,didanosine,diflorason,diflunisal,diflupredn,digoxin,diltiazem,disopyrami,disulfiram,dobutamine,dofetilide,dopamine,dorzolamid,doxepin,doxercalci,doxycyclin,echothioph,edetate,efavirenz,enalaprila,epinephrin,epoprosten,eptifibati,ergotamine,ertapenem,erythromyc,esomeprazo,ethambutol,ethinyl,etodolac,etomidate,etoposide,famotidine,febuxostat,fentanyl,finasterid,floxuridin,fluconazol,fludarabin,fludrocort,flumazenil,fluocinoni,fluorescei,fluorometh,fluoxetine,flurazepam,fluvoxamin,fosamprena,fosphenyto,furosemide,gatifloxac,gentamicin,glipizide,glucagon,glyburide,glycopyrro,granisetro,guanfacine,haloperido,heparin,hydralazin,hydrochlor,hydrocodon,hydrocorti,hydromorph,hydroxocob,hydroxychl,hydroxypro,hydroxypro,hydroxyzin,hyoscyamin,ibuprofen,idarubicin,ifosfamide,imipenem,imipramine,indomethac,insulin,interferon,isoniazid,itraconazo,ketamine,ketoprofen,ketorolac,lactulose,lamivudine,lamivudine,lanoxin,leucovorin,leuprolide,levoleucov,lidocaine,lindane,linezolid,liothyroni,lisinopril,lithium,lorazepam,loxapine,mannitol,meclizine,medroxypro,megestrol,meloxicam,memantine,mepivacain,mesalamine,metaxalone,metformin,methadone,methamphet,methimazol,methocarba,methotrexa,methyldopa,methylphen,methylpred,metoclopra,metoprolol,metronidaz,midazolam,mirtazapin,misoprosto,mitoxantro,mometasone,montelukas,morphine,moxifloxac,multi-vita,mycophenol,nafcillin,nalbuphine,naratripta,nateglinid,nebivolol,nedocromil,nefazodone,neomycin,nevirapine,nizatidine,norepineph,norethindr,nystatin,octreotide,olanzapine,olopatadin,omeprazole,ondansetro,oxaliplati,oxaprozin,oxcarbazep,oxybutynin,oxytocin,paclitaxel,paliperido,pantoprazo,peginterfe,pentamidin,pentostati,pentoxifyl,phenobarbi,physostigm,pindolol,pioglitazo,piroxicam,polymyxin,potassium,pramipexol,prednicarb,prednisolo,pregabalin,procainami,procardia,promethazi,propafenon,propofol,protamine,quinapril,ranolazine,remifentan,repaglinid,rifampin,risedronat,risperidon,ritonavir,rocuronium,ropivacain,rosuvastat,saquinavir,scopolamin,selenium,sertraline,sildenafil,silodosin,simvastati,sodium,somatropin,spironolac,stavudine,succimer,sucralfate,sufentanil,sulfacetam,sulfasalaz,sumatripta,synercid,tacrolimus,talwin,telmisarta,temozolomi,testostero,thallous,thiothixen,timolol,tizanidine,tobramycin,topotecan,trandolapr,tranexamic,triamcinol,triamteren,trimethobe,valproate,valproic,vancomycin,vareniclin,vecuronium,verapamil,vibramycin,vincristin,vinorelbin,vitamin,voriconazo,zafirlukas,zinc,zolmitript,zolpidem
9/30/09,,,1206004,20987,6707,,262,1078857,15155,,3180,41534,,372,2882,7609,1572,40377,527807,792,3050845,163449,40622,546,0,1742750,20326,,2048192,3386,442,151308,65419,,1326,,4083,61823,34526,1049,,,804,6344,122160,,40001,257044,17,,31414,564277,,247,72,1184,2255,59838,881396,0,45301,0,1207,578793,,11952,103,413239,,92981,21445,2308590,1051958,174204,94360,4462,18203,36,628,4092,,,1882,752,1354,,,130,,10177,158577,,233147,,190128,31192,938123,193960,98,4191,8540,,158516,187810,425,,2459,,54,31619,75853,,379394,,,,44,7602,27,,36,,202958,,4481,,58617,67,7783,333139,,193453,25782,11,584173,826,27848,113,106377,0,8373,984237,31053,53682,,557,991698,,93233,439995,31780,358932,53120,7465,186982,251248,92814,94042,1061274,4415427,647584,169023,305,60888,207,207,744583,40230,2950714,0,434,,84649,64433,41,,44724,3814,1051,13929,191439,147497,,,14222,24240,216,,175043,10044,,0,2001047,302665,2296548,12279,2107,203734,425079,52179,281391,,,1631,,1532389,203957,,36030,176303,102884,28184,238837,303481,380221,1191934,591704,49953,397174,18585,0,161297,,309158,,28343,27309,1300,9729,,54,,,5223,81022,,22949,0,30416,775076,1008,,,878063,501612,56,21569,274588,176089,354,21238,,83459,,,0,29095,376560,0,3080,,45523,27182,454974,,2847,635830,,0,278,1198547,21941,11424,101,35939,,,,16289,,1269710,,1568,,,,17,39773,1242886,12,,1535208,364205,,250865,6831,,65067,34,44077,15485,110326,0,2308,676,,,11555,,18150,33982,188491,99805,,4029,0,608149,121077,2490,69,106122,58644,,628,137167,1222,5945,2439,451662,,,33796,,955678
12/31/09,,,1328370,21601,4805,,232,1883321,14251,,3016,49011,,716,2987,6295,1285,39684,554746,652,4417766,214186,41168,565,,1832133,19703,,3429459,4542,440,263018,53504,,1647,,2682,39894,31968,1049,,,552,4725,112135,,34640,268290,33,,39380,917809,,247,145,1592,2437,77937,1006796,0,47845,0,1282,569038,,13040,122,425844,,79474,21053,2461775,1129707,178536,92075,5077,18346,12,412,2459,,,2028,585,1474,,,149,,10559,168215,,297467,,219784,36801,987856,190503,98,1816,7143,,158797,187437,347,,2682,,150,28689,76155,,413169,,,,91,13602,27,,36,,182346,,3653,,58171,137,7858,332555,,206550,23574,11,631224,861,29467,182,88994,0,8313,1048523,31279,52898,,770,972491,,108172,432901,28342,337812,53094,8773,212594,278052,90033,97872,1084907,4518763,599841,188172,262,63380,207,207,737616,42801,3468329,0,384,,91115,61409,105,,45296,3421,1274,13593,225188,149184,,,12173,24810,161,,168603,7842,,0,2050247,343543,2389115,14631,2107,215621,426659,51893,271428,,,721,,1493448,215270,,37296,181837,107806,25359,269294,356080,351039,1216425,610702,55260,426751,19050,0,133604,,338194,,29960,36447,1358,9729,,4738,,,4499,72448,,19088,59,31569,798988,1044,,,1026480,611590,1259,17206,292543,183033,354,21348,,88455,,,0,25953,375318,0,2487,,54377,40488,459772,,2106,997698,,0,340,1718461,21519,15619,178,35697,,,,14215,,1395748,,2465,,,,71,37349,1287629,12,,1459470,400995,,245516,6244,0,66418,34,53990,16105,106202,15,20580,481,,,11821,,23052,31082,191471,107308,,3429,0,558471,119383,2357,120,109041,63709,,628,127718,804,5945,3116,558274,,,30575,,1011200
3/31/10,,,1320564,23893,6186,,225,2286376,18353,,3534,35694,,358,3247,6512,1514,41285,619852,862,5269631,312329,40588,892,0,1908471,20711,,3610252,2930,550,245529,70221,,1777,,813,343834,35691,1049,,,1054,5609,134189,,39137,282344,26,,42825,1130495,,247,68,1537,2664,87785,1105988,0,49076,0,1869,631432,,12014,81,475449,,102493,22257,2591049,1222484,181538,105062,5718,18620,0,583,4032,,0,2408,1019,1494,,,122,,10482,171954,,313981,,249858,35478,1046543,221815,98,4206,9124,,168247,223231,429,,2202,,170,28645,85983,,461568,,,,63,10620,27,,36,,223551,,4138,,64758,126,7482,381199,,242871,29384,11,677549,1040,31437,204,105631,0,8995,1155618,33030,58181,,549,1046379,,136583,475617,29640,372842,55097,8587,234340,275522,93909,105867,1180815,4963513,704299,209056,338,74600,207,207,827963,62917,3634275,0,493,,94207,67247,67,,43135,3649,1267,15828,227554,164930,,,10875,26128,182,,215876,7723,,0,2390122,354194,2446711,14393,2107,224655,448074,51343,334968,,0,1559,,1736805,232574,,40954,216734,115443,30633,292049,370320,375558,1378698,678455,58770,458413,21692,0,162293,,370363,,62515,42494,1430,9729,,6522,,,5153,89839,,31096,33,34409,846127,1513,,,1267138,781768,3050,25122,340531,207665,354,20952,,96075,,0,0,20166,382186,0,3065,,41842,70999,496223,18853,2106,1185496,,0,324,1802037,22823,13672,127,38058,,,,14318,,1455042,,2917,,,,14,43716,1433901,0,,1798687,423861,,276902,6628,0,76290,34,75394,18046,147317,59,33609,426,,,15208,,19547,36219,232572,141382,,3448,0,669620,126382,3210,114,112660,63902,,628,146797,817,5945,3027,687988,,,32797,,1126535
6/30/10,,,1552189,30898,9119,,206,2417415,24605,,3877,41279,,295,3529,7794,2267,52436,792016,998,6303991,435127,53398,998,,2293513,27819,,3629116,4226,550,262972,122775,,1856,,385,457792,49577,1049,,,1337,8176,170335,,50815,345110,33,,47305,1080343,,247,63,1651,2992,90031,1929351,0,56589,0,2319,898351,,14402,36,741007,,153134,26801,3064159,1572657,226216,139855,7531,19730,0,641,5414,,0,2457,1594,1658,,,92,,12445,211370,,337399,,348550,41738,1252148,329902,98,5157,11348,,205873,297333,485,0,2794,,203,38397,114590,,628760,,0,,64,9276,27,,36,,352131,,4902,,92815,59,8276,522183,,315860,39900,11,984275,1122,40694,192,159894,0,15807,1500040,35155,68806,,408,1360586,,193853,661973,39792,482940,59972,9531,305695,331777,96526,145528,1674970,6971562,1201304,271689,413,105516,207,207,1203786,72796,4977280,0,524,,110019,103427,124,,66329,4684,1739,20159,278027,179022,,,10819,30296,264,,294612,7873,,0,3482545,439489,2770659,19395,2107,285836,577712,65417,455826,,0,2369,21026,2435550,277814,13,59813,305478,153382,39509,393900,538098,426976,1826044,983171,64903,564804,29657,0,251519,,521986,,62515,59845,1641,9729,,7519,,,5939,138712,,39310,25,46556,1170690,1606,,,2057925,998946,5150,32401,423037,293005,354,22700,,132410,,,0,22530,407927,0,3778,,33696,108012,623325,45685,2106,1360145,,0,426,1943632,25669,12617,186,54218,,,,18793,,1755271,,3491,,,,11,77289,1865194,29,,2598084,499431,,362484,6628,,96535,34,108157,24887,279267,26,51400,563,,,18488,,26026,50371,287393,219935,,3813,0,1110605,178545,4386,140,125951,67507,,628,198623,2032,5945,3160,687988,,,36314,,1398110
9/30/10,,,1528745,33855,12829,,254,2024290,23474,,3270,44550,,262,1971,8709,2488,56830,839265,972,5318726,439756,54309,1301,,2471092,29842,,3106506,4271,550,211308,138100,,2220,,2105,378378,55633,1049,,,1527,9413,183848,,54170,367879,53,,47849,797677,,247,70,1619,2451,80832,1796118,0,61467,0,2279,1025827,,14425,80,881501,,169387,29533,3290117,1678361,234921,127645,8555,22116,0,682,5832,,,2648,1805,2302,,,86,,13611,224094,,312298,,368941,41591,1318917,362439,98,4177,11502,,216219,310769,651,,2906,,177,43144,123958,,663787,,0,,39,15464,43,,36,,363426,,5457,,98056,79,9232,581223,,332269,47108,11,1080773,915,44478,176,171199,0,16935,1576186,35656,74231,,261,1457923,,163661,712680,53596,510936,61925,11464,325456,349918,93474,160838,1821274,7600807,1239421,321313,362,115390,207,207,1302586,75907,5208644,0,673,,112956,114024,109,,73041,5437,1435,21597,298949,186974,,,9935,30239,301,,312243,10706,,0,3818740,458066,2915383,22058,2107,304557,586922,73248,513897,,0,2495,31781,2669922,318210,87,66267,336925,167499,43192,396289,550876,427012,1957205,1074352,65677,601337,30530,0,252786,,576556,,62515,66818,1931,9729,478,9267,,,6061,181424,,39430,15,48774,1266575,1674,,,2404644,1027087,5302,33474,447511,320658,354,24435,,138292,,,0,21438,417861,0,4110,,38020,75578,679616,55514,2106,1090011,,0,397,1798491,28319,11583,185,60386,,,,20238,,1820615,,3626,,,,0,83824,2021221,0,,2812302,517621,,394998,6806,,106585,34,84851,25726,324153,23,64964,496,,,21815,,27876,55914,320893,193355,,5534,0,1162635,189542,4561,83,132831,74716,,628,213168,1945,5945,2805,687988,,,38599,,1504968
12/31/10,,,1517221,33951,9571,,355,3043577,22782,,2993,49177,,613,1235,8613,2390,56380,835750,973,7189742,517211,55886,1254,0,2500623,30490,,5096168,4045,550,356307,125235,,2221,,18356,581460,53515,1049,,,1993,9001,179208,,51580,358744,40,,47849,1222425,,247,79,1761,3113,108396,1987972,14,59029,0,1913,1033631,,17085,99,891570,,163066,29417,3310763,1696256,227127,123599,9412,21376,11,764,5928,,,2648,1721,2361,,,170,,13734,231796,,393563,,390703,40339,1343494,370109,98,3762,11201,,210620,289344,593,,2875,,154,42336,123230,,703045,,0,,109,15464,20,,36,,364764,,5344,,95576,120,10206,588464,,309751,49247,11,1104046,1063,43478,153,159172,0,15767,1570472,36174,73338,,683,1366507,,179660,687735,48839,494790,61360,15081,341755,356407,99714,162195,1751087,7529914,1102988,301574,437,115103,207,207,1238634,86529,5791223,0,977,,112182,110164,0,,70225,4892,1764,21072,328029,189000,,,8927,29681,253,,314778,9443,,0,3774561,450197,2905202,22710,2107,304102,632445,72025,548541,,,2707,30991,2683382,310032,122,66540,345846,173518,41297,439316,586564,408063,1941707,1079543,70974,601506,30993,0,226378,,589154,,62515,72707,2127,9729,1651,9659,,,5805,122102,,38210,0,46664,1248299,1894,,,2538427,1213246,5575,33308,452217,326048,354,27929,,126758,,0,0,24465,414775,0,3907,,36272,90532,656294,53658,2106,1682564,,0,466,2345303,28735,11523,206,53689,,,,19135,,1843881,,4316,,,,12,74769,2021878,45,,2820917,484584,,384647,6075,0,106026,34,89123,24888,358073,38,70535,352,,,26159,,26383,56448,330831,202464,,6008,0,1082669,176662,4740,112,132052,81507,,628,204542,1181,5945,3331,687988,,1942,40182,,1528551
3/31/11,,,1662708,34923,9290,,437,3427678,23422,,3998,56342,,340,792,8011,2423,56699,872562,948,9158750,615415,55699,1364,0,2652603,31016,,6066105,3733,550,437340,118071,,2050,,18356,607343,56121,1049,,,3277,8991,188233,,50155,370124,17,,47849,1568573,,247,77,2202,3242,126730,1998880,0,59055,0,1810,1040818,,13616,89,906148,,168600,31255,3416179,1784981,235894,170592,9527,22063,39,719,5671,,,2648,1333,2361,,,91,,13825,233209,,398069,,406973,39383,1379845,375114,98,3717,10875,,212167,285658,515,,3306,,172,44202,141358,,729549,,,,102,20651,11,,36,,394205,,5283,,95809,91,10333,618989,,327287,53909,11,1091786,803,45099,150,156415,0,15729,1665381,36097,76561,,306,1396459,,208444,717454,46056,494025,61415,11798,375154,352015,94327,164341,1844588,7720636,1136534,321317,435,121513,207,207,1279370,91895,6546012,0,625,,113965,110409,0,,70078,4740,1269,20488,349094,201237,,,8065,27156,188,,315440,8876,,0,4002846,468865,2931259,22878,2107,310821,665542,69610,572584,,0,2876,31799,2795708,312317,208,71210,353334,174664,42840,477877,606314,400461,2026227,1047385,73120,643723,34516,0,228760,,620101,,62515,77996,1979,9729,2511,9909,,,5935,120309,,39379,13,51217,1255432,1702,,,2855506,1515372,5433,32554,461628,347109,354,27278,,141464,,0,0,26581,411914,0,4034,,35127,104015,682565,61321,2106,1880584,,0,400,2739913,32472,11852,238,60782,,,,18586,,1886885,,4103,,,,0,80995,2117345,0,,3011773,493407,,399622,5991,,110413,39,113746,25371,389480,76,81479,353,,,26220,,25862,58944,352217,244764,127,5363,0,1105750,178552,5166,142,131881,75176,,643,207685,1133,5945,2366,687988,398,11311,41676,,1660404
6/30/11,,,1459853,36882,10566,,421,2806971,26372,,4285,46146,,314,606,8776,2582,57743,894616,779,7337538,622425,55097,1259,0,2651538,33588,,4347957,2895,550,319719,131868,,1986,,11524,479153,57487,1049,,,4635,8958,187970,,47950,374731,0,,47849,1197910,,247,79,2106,2303,106867,2645260,0,58230,0,1775,1051794,,13103,45,996611,,193616,31286,3497402,1822409,235537,147958,10299,22491,39,766,6039,,,2440,559,2735,,,106,,13394,239841,,388664,,430315,40117,1400717,392418,98,3985,11348,,207524,276081,470,2665,3297,,173,45671,147177,,735042,,0,,73,20651,0,,36,,435666,,5397,,98149,93,11461,622588,,370207,57633,11,1160155,924,46806,168,179931,0,20316,1741763,35831,76051,,625,1436996,,228622,724308,47201,494949,62702,15339,405550,371425,104839,169461,1877706,7945591,1333717,350806,412,129030,207,207,1412774,87257,5915369,0,897,,113922,123131,0,,73250,5170,1367,19886,412133,209704,,,6991,28032,127,68,340114,7697,,0,4117712,481280,2973242,23147,2107,316860,712137,72583,605989,,0,2869,32684,2883057,325580,262,73965,385128,184664,45543,912032,387312,380145,2061428,1130941,82655,653978,36154,0,276523,,647643,,62515,80158,1712,9729,3248,9703,,,5749,137834,,39890,15,62827,1349786,2002,,,2972719,1446297,5473,31721,466203,355863,354,27569,,188218,,12,0,27955,417250,0,4026,,37629,129308,671972,67999,2106,1559737,,0,410,2179007,31889,13827,253,61700,,,,19668,,1913183,,4208,,,,15,84728,2179756,0,,3136011,512343,,410972,5356,,113195,39,121728,26892,414554,43,81737,628,,,31978,,25491,61116,355908,282035,755,5390,0,1327367,188276,4412,194,133710,78895,,629,205375,2018,5945,3071,687988,2671,14631,39521,,1714455
9/30/11,,,1271357,34076,11490,,362,1908627,17568,,4084,41870,,621,1338,9125,2470,55357,825914,746,4806123,537963,49236,1204,0,2477717,30529,,2845913,1774,1527,202997,125434,,1710,,4387,345491,55700,1049,,,5198,8016,187715,,43046,363955,0,,47849,719247,,247,88,2289,2478,76747,2299588,0,51661,0,1705,982385,,12718,49,964594,,190111,29018,3279904,1728091,214622,129933,9207,27913,27,749,5624,,,2250,522,2566,,,36,,12605,223899,,355328,,433324,37496,1343123,364662,98,2631,9809,,195139,254999,491,6780,3166,,109,46775,138605,,657702,,0,,85,19075,0,,457,,360786,,5227,,88626,109,10805,535643,,346449,61249,11,1077013,460,44136,171,167999,0,18121,1591037,34196,70227,,559,1370154,,154337,657453,55222,452449,62390,16569,381825,355454,95114,165504,1734345,7353124,1155924,351068,369,122503,207,207,1351381,85741,4774671,0,811,,103988,114734,0,,64691,5118,1410,18025,438798,208659,,,5943,27180,122,153,323075,9375,,0,3881310,440003,2785599,23655,2107,298201,662186,71155,590136,,0,2484,22214,2685219,313638,252,68985,365717,171047,39749,1418925,285994,342372,1897158,1042949,83576,625639,31550,0,241364,,649790,,62515,81388,2030,9729,5620,8689,,,5366,156216,,27267,0,67358,1238647,1883,,,3025584,1303187,4136,25008,431172,331551,354,27335,,252791,,0,0,26264,384913,0,3598,,35722,73162,657079,62897,2281,1039986,,0,342,1720548,27630,16382,243,53272,,,,18598,,1786709,,5302,,,,0,76961,1988212,0,,2802887,483642,,391565,4237,,105084,39,71737,24962,389950,16,86245,573,,,35295,,24276,59162,360507,179760,1087,4461,0,1217892,170735,3509,273,123843,72959,,593,187885,1687,5945,2863,687988,3134,13982,35598,,1657192
12/31/11,,,1361605,38421,10168,,502,3246371,16705,,4359,47411,,439,1725,9312,2470,58378,905222,752,7382903,635136,52465,1199,,2688601,33706,,5260532,2060,1527,385324,123974,,1702,,4825,599358,56063,1049,,,6783,8799,192344,,43472,394120,0,,47849,1216528,,247,120,2179,2532,115118,2699773,0,53285,0,1586,1053124,,12184,124,1053486,,212167,29264,3493203,1904545,229442,165189,9752,26142,24,745,5877,,,2243,233,2231,,,111,,12853,242526,,421180,,382092,32447,1407936,407398,98,4285,10099,,204789,269897,442,8949,3080,,182,53919,153622,,777493,,0,,200,17503,0,,312,,395308,,5583,,96943,86,10742,595594,,359896,71201,11,1201223,532,48825,202,182345,0,18784,1741866,34765,74360,,635,1424531,,179704,724869,49891,473758,64303,16684,433009,378375,107957,185619,1875061,7805821,1202668,373499,470,135145,207,207,1429044,102664,5657423,0,793,20,107585,122030,11,,73372,5239,1557,19519,438798,226286,505,505,4828,27020,155,26,345376,8074,,0,4265936,480006,2924104,23712,2107,319037,697317,72571,689814,,0,2786,30538,2966284,325823,273,80148,418073,181577,42231,1867505,459145,365616,2132098,1158734,82036,685441,34113,0,230199,,684899,,62515,83649,1739,9729,7345,10915,,,5356,124021,,30673,0,91005,1391131,1475,196699,,3025584,1613329,3255,22171,440517,374251,354,24652,,410701,,0,0,27977,407601,0,3631,,36696,84991,686448,71531,2072,1903901,,0,287,2483369,30142,16135,243,56650,,,,18741,,1965697,,4976,,,,0,81688,2213002,0,,3058712,497588,,425680,4324,,117921,35,87676,26852,455456,0,89904,519,,,36556,,24479,65895,401140,216585,1304,4150,0,1300998,174101,3799,102,128218,79904,,610,199948,1296,5945,2932,687988,3640,16054,34473,,1774417
3/31/12,,,1355241,37990,10044,,539,3380051,14463,,4372,49573,,532,2512,9211,2591,58745,910438,877,8161888,636525,51075,1413,0,2640325,32859,,5566297,1552,1527,396214,119481,,2024,,2439,620865,55884,1049,,,8510,9128,183938,,41887,394094,0,,47849,1453230,,247,212,2077,2197,127871,2579978,0,52473,0,1570,1035730,,10069,129,1026069,,210170,30364,3524625,1891653,230590,127245,10031,27155,11,708,6145,,,2287,238,1604,,,118,,13002,238022,,374837,,383436,35070,1420856,400500,98,4107,9228,,201166,286429,445,8830,2635,,153,59021,153448,,782168,,0,,55,11396,0,,121,,419256,,5408,,92306,78,10076,632730,,363509,78302,28,1149563,566,48172,191,184606,0,21829,1756560,33431,74351,,831,1414883,,214908,721628,47413,455240,66036,13719,452832,377833,147600,190866,1885769,7475934,1166804,360396,508,134250,207,207,1372946,98342,5638556,0,620,1138,106269,117149,11,,67945,5704,1656,19630,438798,230665,22274,22274,4195,25358,120,0,355890,5947,,0,4247621,469585,2984499,23146,2107,316955,700131,69008,687062,,,2691,22458,2973811,307795,338,78259,385287,180649,42079,1941055,500729,362248,2166387,1156091,77953,681755,36579,0,206440,,691790,,62515,86529,1840,9729,9924,12998,,,4878,127491,,33913,0,96249,1286950,1522,393162,,3025584,1843151,2771,19581,446105,393506,354,24555,,507758,,,0,26530,400865,0,3491,,34934,118466,686338,75127,1591,1865609,,0,158,2586442,30771,17594,232,55211,,,,17550,,1930137,,4678,,,,0,71149,2195918,0,,3002731,502112,,428873,4101,,125884,0,107556,27371,458457,40,94557,288,,,34494,,24845,69705,415156,253540,1378,3809,0,1277020,168765,3683,154,130219,76389,,610,199886,1075,5945,2381,687988,3940,17466,33443,,1706573
6/30/12,191,,1266013,39808,9433,,538,2650876,14594,,3731,48202,,461,2504,10465,2555,59541,897333,724,6585508,694985,49852,1241,0,2671462,33897,,4018923,1388,1527,294937,135549,,2053,,532,454698,58479,1049,,,8901,9380,195027,,38567,400234,28,,47849,1085266,,247,113,1994,2045,104628,3117781,0,55518,0,1743,1020693,,13699,46,1059305,,237351,30436,3499020,1873129,229578,122174,10417,28766,0,543,6320,,0,2603,340,1862,82,,102,,12303,237341,0,388333,,376043,37557,1388130,406762,98,3643,9208,,193277,287574,417,10465,3370,,175,63735,155398,,769621,,0,,45,9987,0,,32,,430252,,5404,122,94286,95,10076,643559,,381889,82972,0,1161322,1055,48777,314,199573,0,27928,1755441,29787,75484,,660,1434805,,208641,727069,49119,455490,65222,20479,461139,390545,114762,197231,1858743,7369845,1328261,389672,421,150345,207,207,1452549,93273,5352057,0,727,1933,102457,119124,0,,67693,6505,1985,21470,438798,236699,31955,31955,3648,26406,138,0,382678,4822,,0,4348949,470559,2909842,21815,2107,312716,704854,70180,717826,,0,2992,21848,3001162,293310,305,79811,395961,185832,42285,2006896,520143,343175,2209857,1133859,91415,692791,37362,0,239254,,741022,,62515,91702,2539,9729,10896,14067,,,4254,131041,1079,31599,0,98727,1327679,1507,470169,,3025584,1755514,2875,16336,454276,404823,354,29141,,601210,,,0,26891,400450,0,3553,,34683,116473,695682,77267,1651,1501957,,0,194,2034737,28277,20845,248,58882,,,,17728,,1949263,,5725,,,,0,75994,2238194,0,,3005039,535016,,437370,3838,,128680,0,100427,27469,462954,32,106683,660,,,37795,0,25466,74184,422387,262183,1439,3046,0,1454887,163247,3421,191,126694,78978,,610,190804,2394,5945,3019,687988,3748,20897,33021,,1690850
9/30/12,8438,,1213640,40930,11101,,433,2477502,15351,,4024,47069,,342,2230,10587,2555,63601,929438,748,5645577,681027,51571,1215,,2762665,34508,,3397519,907,1527,245345,142389,,2170,,328,384423,63770,1049,,,13013,9503,200161,,40523,421367,0,,47849,829170,,247,161,2051,2625,93672,2827973,0,58199,0,1804,1066345,,12835,85,1169740,,244029,31983,3566529,1981025,240482,116357,11047,31548,0,577,6297,,0,2361,499,1639,,,108,,12092,245225,5661,366452,,441259,39515,1448352,440895,98,3527,9409,,198639,295106,444,10779,3065,,277,70468,163352,,785177,,0,,77,8282,0,,57,,409282,,5604,5493,100138,124,10076,716724,,381391,87622,32,1238894,1176,51201,247,204035,0,27260,1817740,30279,75704,,398,1535265,,163662,769823,68003,467563,66913,24324,487338,419321,114854,216509,1939169,7775223,1318039,398400,481,172533,207,207,1516121,91036,5322529,0,626,2229,103159,122738,0,,68974,5756,1813,22542,438798,235254,37995,37995,3249,25942,154,0,390108,5564,,0,4591090,479743,3000584,20300,2107,327477,709710,77529,803283,,0,2920,21884,3130947,313200,307,81399,422097,179043,43665,2074487,526866,353399,2336752,1228706,89393,722757,38209,0,255508,981141,750807,,62515,95636,1983,9729,12199,14622,,,4018,160576,7498,36447,0,103081,1419593,1410,579766,,3025584,1781872,2941,17428,482609,441722,354,32394,,692344,,,0,29891,421027,0,3757,65399,33870,85582,741271,82759,1058,1364896,,0,262,1779133,26388,22784,263,56552,,,,18340,,2033387,,6028,,,,0,81304,2335813,0,,3130107,529723,,465910,3847,,137968,0,71330,29206,493898,19,115686,483,,,37795,,26295,80160,472290,209637,1584,2821,0,1497893,176786,2799,301,135549,82801,,610,193606,2042,5945,2760,687988,3868,22505,32904,,1714441
12/31/12,10127,,1216020,39682,9053,,490,3643849,14378,,3971,51305,,224,2491,9600,2555,61326,919910,757,7614479,653928,48578,1146,0,2761516,33603,,5263700,878,1619,424076,126227,,2012,,194,495451,58596,1049,,,19648,8132,192522,,38878,397007,11,,47849,1273325,,247,131,2613,2381,117582,3075265,,54748,0,1800,999617,,13858,151,1095016,,223040,30265,3492323,1950444,233496,95434,10996,29168,0,503,6393,,,2313,588,1705,,,134,,11966,240689,12758,425953,,522274,38682,1395235,435566,98,2537,8689,,184604,280842,451,9626,3090,,250,67991,157710,,809786,,0,,60,13348,0,,59,,385065,,5122,9702,94246,142,11447,654090,,383440,88253,32,1200676,819,48774,179,176406,0,25520,1794827,30200,74048,,444,1417662,,167548,719998,50800,445208,70741,25685,492826,394130,111670,210679,1829476,7322669,1144705,392845,514,171313,207,207,1442012,98819,5695644,0,692,2468,100433,115134,0,,64225,5598,1947,23089,438798,226119,34249,34249,2982,26442,176,,402371,5148,,0,4490969,458899,2907108,19536,2107,314522,710895,71427,806489,,0,2831,23545,3038696,287013,303,77139,415659,169718,39315,2375722,553694,337873,2264678,1179192,92189,710544,34360,0,215767,2849564,750377,,62515,91073,2053,9729,13331,13471,,,3804,123414,7426,28672,0,102761,1418533,1467,555877,,3025584,2088129,6194,16149,491834,420714,354,31676,,740216,,,0,29333,399493,0,3438,204314,34088,94660,693807,76967,1007,2064579,,0,289,2393558,15503,22340,222,54013,,,,16701,,1959286,,6133,,,,0,73749,2297935,1537,,2964900,531960,,448449,3226,,134032,0,72186,28554,478880,0,110123,358,,,37795,,24764,78265,470581,201248,1484,2616,0,1315867,161476,2756,321,130038,80824,,654,186705,1208,5945,2933,687988,3978,18896,33166,,1637479
